id_transaccion,fecha,categoria_producto,nombre_producto,region,segmento_cliente,precio,cantidad,porcentaje_descuento,tasa_impuesto,monto_total,margen_ganancia,costo_envio,nivel_inventario,satisfaccion_cliente,precio_competidor,cuota_mercado,gasto_publicidad,trafico_web,tasa_conversion,cliente_frecuente,metodo_pago,tiempo_procesamiento,tiempo_entrega,calificacion_producto,demanda_estacional,ubicacion_tienda,ventas_linea,ventas_offline,reputacion_marca,valor_vida_cliente,intentos_fallidos,velocidad_compra,diferencia_precio,compra_fuera_horario,transacciones_multiples_ubicaciones,cambios_direccion,es_fraude
11,2025-01-25,Electrónica,Pack Cable USB-C,Oeste,Presupuesto,14.99,40,25.0,6.9,449.70,62,4.20,2156,7.2,12.99,10.3,300,9800,7.1,No,Tarjeta Débito,1,2,3.8,Medio,Los Ángeles,599.60,0,68,245.30,0,Normal,2,0,No,No,No
12,2025-01-26,Deportes y Aire Libre,Zapatos para Correr,Este,Estándar,120.00,6,10.0,8.0,632.64,39,13.80,412,8.3,115.00,13.5,875,16900,10.9,Si,Tarjeta Crédito,2,4,4.2,Alto,Boston,720.00,0,82,1425.80,0,Normal,5,0,No,No,No
13,2025-01-27,Ropa,Jeans de Diseñador,Norte,Premium,129.99,3,2.0,8.3,389.37,44,16.50,198,9.3,139.99,15.6,1650,31200,17.8,Si,Apple Pay,2,3,4.8,Bajo,Nueva York,389.97,0,91,2834.20,0,Normal,10,0,No,No,No
14,2025-01-28,Hogar y Jardín,Planta de Interior,Sur,Presupuesto,24.99,18,8.0,6.6,408.13,51,6.40,834,7.9,22.99,9.7,350,11200,8.2,No,Transferencia Bancaria,1,5,4.1,Alto,Austin,449.82,0,70,356.40,1,Lento,2,0,No,No,No
15,2025-01-29,Libros y Medios,Libro de Historia del Arte,Oeste,Estándar,64.99,7,3.0,7.5,455.71,36,11.20,423,8.1,59.99,12.1,520,12900,9.5,Si,Tarjeta Débito,2,6,4.0,Bajo,Denver,454.93,0,76,1128.50,0,Normal,5,0,No,No,No
16,2025-01-30,Electrónica,SSD Portátil 1TB,Norte,Premium,149.99,5,0.0,8.4,799.37,41,28.50,156,9.4,159.99,16.2,2100,39800,20.1,Si,Tarjeta Crédito,2,3,4.9,Medio,Chicago,749.95,0,87,3956.75,0,Normal,10,0,No,No,No
17,2025-01-31,Belleza y Cuidado Personal,Kit de Aceites Esenciales,Este,Estándar,49.99,12,7.0,7.3,623.48,46,10.50,523,8.2,47.99,11.8,780,15400,11.2,No,PayPal,1,4,4.3,Alto,Washington,599.88,0,79,1245.60,3,Muy Rápido,2,1,Si,No,Si
18,2025-02-01,Muebles,Mesa de Café,Sur,Premium,299.99,2,4.0,8.5,615.68,29,42.30,89,9.0,319.99,13.4,1950,36500,18.2,Si,Transferencia Bancaria,3,5,4.6,Bajo,Miami,599.98,0,86,2567.40,0,Normal,20,0,No,No,No
19,2025-02-02,Deportes y Aire Libre,Set Tapete Yoga,Oeste,Presupuesto,34.99,22,12.0,7.0,673.34,49,5.60,945,7.7,32.99,10.5,420,13100,9.3,No,Tarjeta Débito,1,3,4.0,Alto,Los Ángeles,769.78,0,71,489.60,0,Normal,2,0,No,No,No
20,2025-02-03,Ropa,Abrigo de Invierno,Norte,Estándar,189.99,4,6.0,8.1,727.92,37,24.70,267,8.4,199.99,12.9,1120,21400,13.5,Si,Tarjeta Crédito,2,4,4.5,Alto,Seattle,759.96,0,84,1892.30,0,Normal,10,0,No,No,No
21,2025-02-04,Electrónica,Funda Smartphone,Este,Presupuesto,19.99,30,20.0,7.2,571.68,58,3.80,1834,7.4,17.99,9.3,280,10200,7.8,No,Tarjeta Débito,1,2,3.9,Medio,Boston,599.70,0,66,234.50,0,Normal,2,0,No,No,No
22,2025-02-05,Hogar y Jardín,Purificador de Aire,Sur,Premium,349.99,2,2.0,8.7,704.99,33,52.40,124,9.2,379.99,14.8,2200,41300,19.5,Si,Apple Pay,3,5,4.8,Medio,Austin,699.98,0,89,3125.70,0,Normal,30,0,No,No,No
23,2025-02-06,Belleza y Cuidado Personal,Suero para la Piel,Oeste,Estándar,79.99,9,5.0,7.4,672.85,42,14.70,612,8.1,74.99,12.2,890,17600,12.4,Si,Tarjeta Crédito,1,4,4.2,Alto,Denver,719.91,0,80,1564.30,0,Normal,5,0,No,No,No
24,2025-02-07,Libros y Medios,Guía de Programación,Norte,Estándar,89.99,5,0.0,7.3,442.24,39,12.30,378,8.0,94.99,13.5,750,14800,10.2,No,Transferencia Bancaria,2,6,4.1,Bajo,Nueva York,449.95,0,77,1156.20,0,Normal,5,0,No,No,No
25,2025-02-08,Muebles,Lámpara de Escritorio,Este,Presupuesto,44.99,16,10.0,6.9,645.76,47,7.90,723,7.9,42.99,11.1,520,12800,8.9,Si,Tarjeta Débito,1,3,4.0,Medio,Washington,719.84,0,72,856.70,0,Normal,2,0,No,No,No
26,2025-02-09,Deportes y Aire Libre,Tienda de Campaña,Sur,Premium,249.99,1,5.0,8.2,244.74,28,38.50,67,8.8,269.99,11.9,1800,33900,15.8,No,Tarjeta Crédito,4,6,4.5,Bajo,Miami,0,244.74,83,2456.90,4,Muy Rápido,20,1,Si,Si,Si
27,2025-02-10,Ropa,Leggings Deportivos,Oeste,Estándar,69.99,8,8.0,7.5,513.12,44,9.80,456,8.2,64.99,12.3,650,12900,10.1,Si,PayPal,1,3,4.3,Alto,Los Ángeles,559.92,0,79,1245.60,0,Normal,5,0,No,No,No
28,2025-02-11,Electrónica,Bocina Bluetooth,Norte,Presupuesto,69.99,12,15.0,7.8,716.34,51,10.50,678,7.6,59.99,10.8,480,11200,8.2,No,Tarjeta Débito,2,3,3.8,Medio,Chicago,839.88,0,68,534.20,1,Rápido,10,0,No,No,No
29,2025-02-12,Hogar y Jardín,Set de Tablas Bambú,Este,Estándar,39.99,11,3.0,7.0,441.81,40,7.20,534,8.0,37.99,11.6,520,10400,9.0,Si,Tarjeta Crédito,1,4,4.1,Alto,Boston,439.89,0,75,1128.50,0,Normal,2,0,No,No,No
30,2025-02-13,Belleza y Cuidado Personal,Perfume de Lujo,Sur,Premium,149.99,3,0.0,8.6,463.48,46,18.50,178,9.3,159.99,17.1,1520,28900,16.9,Si,Apple Pay,2,5,4.9,Bajo,Austin,449.97,0,90,2245.80,0,Normal,10,0,No,No,No
31,2025-02-14,Muebles,Escritorio de Pie,Norte,Premium,599.99,1,3.0,8.5,618.49,30,75.30,42,9.1,649.99,13.2,2950,52600,21.5,No,Transferencia Bancaria,4,6,4.7,Medio,Seattle,0,618.49,88,4125.60,0,Normal,50,0,No,No,No
32,2025-02-15,Libros y Medios,Colección de Recetas,Oeste,Presupuesto,44.99,14,10.0,6.8,568.34,48,8.90,689,7.7,41.99,10.0,350,9800,7.5,Si,Tarjeta Débito,1,5,3.9,Alto,Denver,629.86,0,71,421.30,0,Normal,3,0,No,No,No
33,2025-02-16,Deportes y Aire Libre,Canasta de Básquetbol,Este,Estándar,199.99,2,5.0,7.9,391.49,32,48.70,156,8.3,210.00,12.5,1200,22300,13.8,No,Tarjeta Crédito,3,5,4.4,Medio,Washington,389.98,0,81,1956.20,0,Normal,10,0,No,No,No
34,2025-02-17,Ropa,Vestido de Verano,Sur,Estándar,79.99,10,12.0,7.2,691.04,43,12.40,523,8.1,74.99,11.9,720,14600,10.8,Si,PayPal,1,3,4.2,Alto,Miami,799.90,0,78,1425.80,0,Normal,5,0,No,No,No
35,2025-02-18,Electrónica,Cargador Portátil,Norte,Presupuesto,24.99,45,18.0,7.4,920.28,56,6.50,1856,7.5,22.99,10.1,380,9600,7.9,No,Tarjeta Débito,1,2,3.9,Medio,Nueva York,1124.55,0,69,356.40,5,Muy Rápido,2,1,Si,Si,Si
36,2025-02-19,Hogar y Jardín,Kit de Jardín Hidropónico,Este,Premium,299.99,2,4.0,8.6,597.58,34,62.10,98,9.3,329.99,15.8,2100,38900,19.2,Si,Tarjeta Crédito,3,5,4.8,Alto,Boston,599.98,0,87,2856.50,0,Normal,30,0,No,No,No
37,2025-02-20,Belleza y Cuidado Personal,Set de Bombas de Baño,Oeste,Estándar,49.99,18,6.0,7.1,809.93,44,10.80,612,8.0,47.99,11.2,650,12800,9.6,No,Transferencia Bancaria,1,4,4.1,Medio,Los Ángeles,899.82,0,76,1245.60,0,Normal,5,0,No,No,No
38,2025-02-21,Muebles,Estantería,Sur,Presupuesto,89.99,6,5.0,7.0,507.34,38,18.90,345,7.8,84.99,12.0,520,11300,8.7,Si,Tarjeta Débito,2,4,4.0,Bajo,Austin,539.94,0,73,856.70,0,Normal,5,0,No,No,No
39,2025-02-22,Deportes y Aire Libre,Patines en Línea,Norte,Estándar,129.99,4,8.0,7.9,474.36,35,16.80,267,8.2,124.99,12.4,850,16200,11.3,No,Tarjeta Crédito,2,4,4.3,Alto,Chicago,519.96,0,80,1564.30,0,Normal,5,0,No,No,No
40,2025-02-23,Libros y Medios,Series de Novela Gráfica,Este,Premium,79.99,5,0.0,7.4,405.75,40,9.20,289,8.3,84.99,14.2,920,18500,12.8,Si,PayPal,2,6,4.4,Medio,Washington,399.95,0,84,1892.30,0,Normal,5,0,No,No,No
41,2025-02-24,Ropa,Sudadera,Oeste,Presupuesto,49.99,14,15.0,7.0,729.72,46,11.20,834,7.9,47.99,10.3,420,10500,8.5,No,Tarjeta Débito,1,3,4.0,Alto,Denver,699.86,0,72,489.60,2,Rápido,2,1,Si,No,Si
42,2025-02-25,Electrónica,Monitor 4K,Sur,Premium,449.99,2,3.0,8.5,913.48,37,68.50,125,9.2,479.99,15.2,2400,45200,20.8,Si,Apple Pay,3,4,4.8,Medio,Miami,899.98,0,86,3245.60,0,Normal,30,0,No,No,No
43,2025-02-26,Hogar y Jardín,Fuente de Agua Interior,Norte,Estándar,89.99,7,4.0,7.3,613.94,36,19.80,412,8.1,94.99,12.8,950,18900,12.5,No,Transferencia Bancaria,2,5,4.2,Bajo,Seattle,629.93,0,79,1128.50,0,Normal,5,0,No,No,No
44,2025-02-27,Belleza y Cuidado Personal,Paleta de Maquillaje,Este,Estándar,69.99,9,10.0,7.5,562.92,43,11.50,567,8.0,64.99,11.5,720,14200,10.4,Si,Tarjeta Crédito,1,3,4.1,Alto,Boston,629.91,0,77,1245.80,0,Normal,5,0,No,No,No
45,2025-02-28,Muebles,Repisa Flotante,Oeste,Presupuesto,59.99,10,6.0,6.9,563.04,41,10.70,445,7.9,56.99,11.3,480,10300,8.8,No,Tarjeta Débito,1,4,4.0,Medio,Los Ángeles,599.90,0,75,856.70,0,Normal,3,0,No,No,No
46,2025-02-29,Deportes y Aire Libre,Gafas de Natación,Sur,Estándar,29.99,20,10.0,7.2,543.96,47,5.50,892,8.1,27.99,10.9,350,8900,7.5,Si,Tarjeta Crédito,1,2,4.0,Alto,Austin,599.80,0,72,689.40,0,Normal,2,0,No,No,No
47,2025-03-01,Libros y Medios,Ficción Histórica,Norte,Presupuesto,34.99,16,12.0,6.7,476.87,50,8.40,723,7.8,32.99,9.8,280,8400,6.9,No,Tarjeta Débito,1,6,3.8,Bajo,Nueva York,559.84,0,68,296.50,0,Normal,2,0,No,No,No
48,2025-03-02,Electrónica,Ratón Inalámbrico,Este,Presupuesto,39.99,25,20.0,7.5,754.95,54,7.50,1245,7.3,37.99,10.2,320,9700,8.1,Si,PayPal,1,2,3.9,Medio,Washington,999.75,0,66,421.30,0,Normal,2,0,No,No,No
49,2025-03-03,Ropa,Jeans,Norte,Estándar,99.99,6,7.0,8.0,555.26,40,15.20,389,8.2,104.99,12.7,750,14300,10.5,No,Tarjeta Crédito,2,3,4.2,Alto,Chicago,599.94,0,81,1425.80,0,Normal,5,0,No,No,No
50,2025-03-04,Hogar y Jardín,Kit de Cultivo de Hierbas,Sur,Premium,79.99,5,3.0,7.8,410.34,39,14.85,234,8.9,84.99,13.5,1100,21200,14.2,Si,Transferencia Bancaria,2,4,4.6,Medio,Miami,399.95,0,83,2134.60,0,Normal,5,0,No,No,No
50,6500,59000,195,17.5,50,1180,8.6,31
